Items_bought,fruit_points,vegetable_points,milk_points,rice_points
"blacksapota,custardapple,kamiyapapaya,gaajar,brocoli",13,11,0,0
"soursopcustardapple,guineagoldpapaya,kamiyapapaya,rasthalibanana,brownonion,tomatohybrid,redchilli,gaajar,yellowbellpepper",25,33,0,0
"greensapota,soursopcustardapple,kamiyapapaya,brownonion,cherrietomato,redbellpepper,buffalomilk,basmatirice,brownrice",13,20,7,10
"dasherimango,dholkapomogranates,soursopcustardapple,hortusgoldpapaya,galaapple,tomatolocal,cherrietomato,redchilli,gaajar,redbellpepper,buffalomilk,brownrice",17,32,7,7
"springonion,tomatohybrid,cherrietomato,gaajar,yellowbellpepper,brocoli,buffalomilk,basmatirice",0,43,7,3
"tomatohybrid,cherrietomato,carrot,capsicum,redbellpepper,brocoli,cowmilk,buffalomilk,basmatirice",0,34,13,3
"redonion,springonion,tomatohybrid,greenchilli,carrot,yellowbellpepper,cowmilk,basmatirice",0,35,6,3
"greensapota,muskatpomogranates,sweetsoursopcustardapple,kamiyapapaya,nendranbanana,tomatolocal,greenchilli,carrot,capsicum,yellowbellpepper,buffalomilk",10,28,7,0
"redonion,springonion,tomatohybrid,greenchilli,gaajar,capsicum,brocoli,cowmilk,tonedmilk,sonamasuririce,brownrice",0,34,15,10
"poovanbanana,greenchilli,redbellpepper,tonedmilk,brownrice",5,8,9,7
"muskatpomogranates,sweetsoursopcustardapple,hortusgoldpapaya,rasthalibanana,springonion,tomatohybrid,redchilli,gaajar,yellowbellpepper,buffalomilk",13,34,7,0
"mammeysapota,rubypomogranates,kamiyapapaya,brownonion,cherrietomato,yellowbellpepper,buffalomilk,basmatirice",13,23,7,3
"greensapota,custardapple,nendranbanana,brownonion,tomatohybrid,greenchilli,gaajar,buffalomilk",8,24,7,0
"custardapple,guineagoldpapaya,poovanbanana,tomatohybrid,redchilli",17,10,0,0
"rasthalibanana,nendranbanana,kashmirapple,springonion,cherrietomato,redchilli,gaajar,redbellpepper,brocoli,buffalomilk,sonamasuririce,brownrice",14,34,7,10
"watermelon,kamiyapapaya,poovanbanana,kashmirapple,cowmilk,tonedmilk,basmatirice",18,0,15,3
"soursopcustardapple,guineagoldpapaya,kamiyapapaya,brownonion,greenchilli,capsicum,brocoli,buffalomilk,sonamasuririce",18,14,7,3
"guineagoldpapaya,poovanbanana,nendranbanana,galaapple,springonion,tomatohybrid,greenchilli,carrot,gaajar,redbellpepper,yellowbellpepper,buffalomilk,sonamasuririce",16,46,7,3
"tomatolocal,cherrietomato,carrot,yellowbellpepper,buffalomilk,basmatirice",0,31,7,3
"greensapota,rubypomogranates,soursopcustardapple,kamiyapapaya,poovanbanana,nendranbanana,kashmirapple,tomatolocal,cherrietomato,carrot,gaajar,yellowbellpepper,cowmilk,sonamasuririce",34,39,6,3
"sweetsoursopcustardapple,guineagoldpapaya,poovanbanana,nendranbanana,kashmirapple,springonion,tomatohybrid,redchilli,gaajar,redbellpepper,yellowbellpepper,cowmilk,sonamasuririce",23,40,6,3
"rubypomogranates,guineagoldpapaya,rasthalibanana,carrot,brocoli,buffalomilk,basmatirice",24,9,7,3
"rubypomogranates,custardapple,sweetsoursopcustardapple,kamiyapapaya,poovanbanana,nendranbanana,kashmirapple,springonion,tomatohybrid,redchilli,gaajar,yellowbellpepper,buffalomilk,basmatirice",30,34,7,3
"sweetsoursopcustardapple,nendranbanana,tomatolocal,gaajar,buffalomilk,brownrice",4,16,7,7
