product,Points
kohinoorbasmatiriceroyaleauthenticbiryani,7
indiagatebasmatirice,3
24mantraorganicsonamasuribrownrice,4
sonamasuririce,3
organicbasmatiricewhite,5
24mantrabrownrice,2
fortunespecialbiryanibasmatirice,3
kohinoorbasmatiricerozana,6
premiumbasmatirice,2
daawatspecialbiryanibasmatirice,8
fortunebasmatiricetraditional,9
basmatiricemograbrokentukda,1
fortunesonamasuriricesupreme,2
popularessentialssonamasurirawrice,6
organictattvabrownbasmatirice,9
charminarlonggrainbasmatirice,3
daawatspecialbasmatirice,9
fortuneeverydaybasmatirice,5
organicbasmatiricebrown,4
fortunebasmatirice,5
sonamasuriboiledrice,5
maandeluxsonamasuririce,5
agrofresheconomysonamasuririce,9
premiumbrownrice,6
organicsonamasuririce,7
naturelandorganicsonamasuririce,8
daawattraditionalbasmatirice,1
basmatiricesuperpremiumbiryani,8
kohinoorbasmatiricedubar,7
premiumbasmatiricebrown,3
daawatsonamasurirawrice,9
safeharvestsonamasuririce,2
kohinoorbasmatiricetraditional,5
24mantrasonamasuririce,4
popularessentialsrawbasmatirice,2
safeharvestunpolishedbrownsonamasuririce,2
kohinoorbrownbasmatirice,9
basmatirice,3
kohinoorbasmatiriceroyaleextralonggold,2
basmatiricepremium,3
24mantraorganicsonamasurirawrice,3
fortunehameshabasmatirice,6
morerawsonamasurisupremerice,8
sonamasurinewrice,1
daawatbasmatiricerozana,1
daawatbrownrice,6
specialbasmatirice,5
fortunebasmatiriceroyaleextralonggold,3
daawatrozanagoldbasmatirice,5
basmatibrownrice,8
daawatbasmatiricesuper,4
bemisalbasmatiricemother’schoice,5
fortunesonamasuririce,7
kohinoorcharminarrozanabasmatiricetibar,5
daawatsonamasuririce,2
daawatbasmatirice,5
kohinoorcharminarbasmatirice,6
popularessentialsbasmatiricebrown,8
24mantraorganicsonamasuripolishedrice,7
kohinoorbrownrice,8
brownrice,7
24mantraorganicbrownrice,6
organictattvabrownrice,9
daawatsuperbasmatirice,3
morebasmatirice,3
organicbrownsonamasuririce,9
daawatbasmatibrownrice,8
24mantraorganicsonamasuririce,5
kohinoorauthenticbrownbasmatirice,4
vmdsonamasuriricesupreme,8
fortunebasmatiricesuper,9
